796,0.799988
797,-0.600006
798,3.20001
799,-1
800,-2.20001
801,5.60001
802,1.20001
803,1.79999
804,-0.200012
805,-1.60001
806,4
807,3.20001
808,-1.20001
809,-2.39999
810,4.79999
811,-3
812,-1.79999
813,-2
814,-0.200012
815,2.20001
816,2
817,-0.200012
818,-3.79999
819,-3.39999
820,-3.79999
821,-6.60001
822,-4.39999
823,-1.20001
824,-2.20001
825,0.600006
826,-3.39999
827,0.600006
828,-1.60001
829,0.799988
830,6.39999
831,-5.20001
832,-0.600006
833,3
834,-0.200012
835,-0.600006
836,-6.79999
837,5.79999
838,3.39999
839,-0.200012
840,-4.60001
841,-2
842,-5.60001
843,3.60001
844,-1.20001
845,-1.79999
846,3.79999
847,1.60001
848,1.39999
849,-6
850,5
851,3.39999
852,-4.20001
853,6
854,-3.20001
855,4.20001
856,3.39999
857,0
858,-0.600006
859,-5.60001
860,-1.60001
861,-3.20001
862,-7.39999
863,1
864,-2.79999
865,2.39999
866,0.399994
867,-5.39999
868,2
869,1.79999
870,-0.399994
871,-0.600006
872,3.79999
873,2
874,-1.20001
875,0
876,-2.60001
877,4
878,3.20001
879,-0.600006
880,-2
881,2.60001
882,0.600006
883,0.799988
884,-5
885,-1.20001
886,1.79999
887,0.399994
888,6
889,-3.20001
890,2.79999
891,2
892,-1.20001
893,3.20001
894,-3.20001
895,3
896,-3.79999
897,-5.60001
898,-0.399994
899,-1.60001
900,1.79999
901,1.60001
902,0.600006
903,-3.39999
904,-9.60001
905,0.399994
906,-2.39999
907,-3.39999
908,-1.60001
909,-2.60001
910,-2.20001
911,1.79999
912,2.39999
913,0.600006
914,7.20001
915,2.39999
916,2.39999
917,0.799988
918,1.20001
919,0.399994
920,-0.200012
921,5
922,-3.39999
923,2.60001
924,-0.399994
925,2.39999
926,-6.20001
927,0.799988
928,-3.39999
929,-1.39999
930,2
931,-8
932,3.79999
933,0.200012
934,-0.600006
935,-3.39999
936,2.79999
937,-2.60001
938,-1.79999
